크레딧명,참여사명,배역,기타,KMDb 영화정보관리번호
제작사,미디어나무,,,A08437
배급사,㈜시네마달,,,A08437
투자사,제이앤씨미디어그룹,제공,,K28560
투자사,영화반점,공동제공,,K28560
배급사,필름에이픽쳐스,,,A10887
제작사,필름에이픽쳐스,,,A10887
제작사,한국영상대학교,,,A10887
제작사,와이씨네,,,K28671
제작사,한국영화아카데미,,,K21479
제작사,한국영화아카데미,,,K21480
제작사,주식회사인시즌,,,K28902
배급사,㈜스튜디오 보난자,,,K22704
제작사,한국영화아카데미,,,K21471
제작사,쿠벨바그,,,A05539
투자사,넷플릭스,,,K28546
투자사,(주)에이스메이커무비웍스,제공,,K23046
투자사,가이아벤처파트너스(유),공동제공,,K23046
투자사,대성창업투자㈜,공동제공,,K23046
투자사,미시간벤처캐피탈㈜,공동제공,,K23046
투자사,㈜센트럴투자파트너스,공동제공,,K23046
투자사,쏠레어파트너스(유),공동제공,,K23046
투자사,CJ ENM,공동제공,,K23046
투자사,IBK 기업은행,공동제공,,K23046
투자사,㈜이수창업투자,공동제공,,K23046
투자사,KC벤처스㈜,공동제공,,K23046
투자사,쿨리지코너인베스트먼트㈜,공동제공,,K23046
제작사,인디라인,,,A09922
제작사,㈜마일스톤컴퍼니,,,K23122
제작사,트웰브져니㈜,,,K26824
제작사,씨제이이앤엠㈜,,,K26824
투자사,영화사 청춘 주식회사,제공,,K21823
투자사,유랩,제공,,K27359
투자사,영화사단비㈜,공동제공,,K21823
투자사,타임랩,제공,,K27359
투자사,땡큐월드,공동제공,,K27359
투자사,참컴,공동제공,,K27359
투자사,밍글즈,공동제공,,K27359
제작사,㈜무당벌레필름,기획/제작,,K23070
공동제작사,㈜필립 홀딩스,,,K23070
공동제작사,㈜엔덤,,,K23070
공동제작사,해방필름,,,K23070
배급사,필름다빈,,,K20346
투자사,오퍼스픽쳐스,,,A10520
제작사,오퍼스픽쳐스,,,A10520
제작사,인벤트스톤,,,A10520
제작사,비케이미디어,,,A10520
제작사,굿인스토리,,,K21697
배급사,㈜시네마달,,,K21697
제작사,피아이씨필름,,,K26457
배급사,아토,해외배급,,K20513
제작사,매니악씨어터,,,K27019
제작사,㈜컨택트미디어,,,K28978
공동제작사,㈜인연엔터테인먼트,,,K28978
제작사,디아스포라 필름 프로덕션,,,A09256
공동제작사,쥬네스엔터테인먼트,,Ep. 3 <깃털처럼 가볍게>,K29140
투자사,디아스포라 필름 프로덕션,제공,,A09256
제작사,한국영화아카데미,,,K28779
제작사,갱경엔터테인먼트,,,K28098
제작사,㈜엠엔에프씨,,,A08440
공동제작사,㈜본팩토리,,,K23729
공동제작사,㈜데이드림엔터테인먼트,,,K23729
공동제작사,조이앤시네마,,,K23729
투자사,새바엔터테인먼트,제공,,K15832
제작사,브릿지ENT,,,K17369
제작사,윈더미디어,,,K17369
제작사,CJ 4DPLEX,제작,,K22987
배급사,장산시네마,,,A09913
제작사,다큐인,,,A06422
투자사,CJ CGV,제공/제작투자총괄,,K22987
투자사,슈팅걸스 유한회사,제공,,K15832
투자사,㈜아이언 스튜디오,제공,,K15832
투자사,㈜원기산삼,제공,,K15832
제작사,새바엔터테인먼트,,,K15832
제작사,㈜아이언 스튜디오,,,K15832
배급사,㈜영화사 오원,,,K15832
제작사,버드커뮤니케이션,,,K29986
제작사,시네마테크 충무로,,,K30489
배급사,㈜콘텐츠윙,,,K21035
투자사,영화진흥위원회,제공,,K29095
투자사,애니투아트㈜,,,K22903
투자사,스튜디오비㈜,,,K22903
투자사,중소기업진흥공단,,2015 프로젝트금융형 대출투자 선정작,K22903
투자사,아에이오우디자인,,,K22903
투자사,엘시스테크놀로지,,,K22903
배급사,맥스프로,,,K28686
제작사,국립극장,,,A10418
투자사,(유)김시우 필름,제공,,K28650
투자사,㈜인스터,제공,,K28650
배급사,㈜NEW,,,K21582
제작사,조아필름,,,K22839
제작사,파랑필름,,,K22839
제작사,와이제이글로벌그룹,,,K22839
제작사,전주영상위원회,,,K19949
제작사,주식회사 케이엠스타,,,K28918
제작사,한국예술종합학교 영상원 영화과,,,K13524
배급사,제이앤씨미디어그룹,,,K27289
제작사,영화사 못,,,A09972
배급사,그린나래미디어(주),,,K23190
제작사,존필름,,,A08264
배급사,㈜시네마달,해외배급,,A08265
제작사,존필름,,,A08265
투자사,㈜그노스,제공,,K28294
투자사,㈜다날엔터테인먼트,공동제공,,K28294
제작사,한국예술종합학교 영상원,,,K14825
제작사,한국예술종합학교 영상원,,,K14828
제작사,한국예술종합학교 영상원,,,K14829
제작사,한국예술종합학교 영상원,,,K14824
제작사,한국예술종합학교 영상원,,,K14826
제작사,한국예술종합학교 영상원,,,K14827
투자사,왓에버웍스 픽쳐스,제작투자,,K24536
배급사,㈜쇼박스,배급,,K24497
배급사,㈜화인컷,해외배급,,K24497
제작사,㈜영화사 집,,,K28829
제작사,파이오니아21,,,A10760
배급사,파이오니아21,,,A10760
제작사,보리와 오디 영화사,,,K27410
제작사,(주)영화맞춤제작소 영화공장,,,K16727
제작사,한국영화아카데미,,,K29112
제작사,한국예술종합학교,,,K16591
제작사,인디라인,,,A06559
제작사,(주)김기덕 필름,,,K15868
배급사,㈜콘텐츠판다,,,K16341
배급사,(주)울림엔터테인먼트,,,K17033
투자사,다나플릭스,,,K17369
배급사,다나플릭스,,,K17369
제작사,희원극단,,,K24624
제작사,한국영화아카데미,,,K28777
제작사,힐링필름,,,K19123
배급사,센트럴파크,해외배급,,K18408
배급사,㈜시네마달,,,A08354
제작사,ZEN/TV,,,K17670
배급사,㈜드림팩트엔터테인먼트,,,K17670
배급사,센트럴 파크,,,K17537
제작사,밀리언달라스튜디오,,,K17591
배급사,아토,해외배급,,K19917
배급사,퍼니콘,,,K18023
배급사,CGV ScreenX,,,A08353
제작사,JYP 엔터테인먼트,,,A08353
배급사,센트럴파크,,,K19639
배급사,호우주의보,,,K17371
제작사,한국영화아카데미,,,K18194
제작사,유관순문화산업전문유한회사,,,A08773
공동제작사,블리트필름,,,K16727
배급사,M-Line Distribution,해외배급,,K28931
배급사,㈜트리플픽쳐스,,,K28931
제작사,한국영화아카데미,,,K18147
